Nro_Tweet,Query,Usuario,Texto,Data de Criacao,Retweets,Likes
58,Palmeiras,Léo Barbieri - INFOS Palestra,"Muito legal essa interação do Palmeiras com os torcedores que vem acontecendo nos Estados Unidos

Bonito presente que torcedores deram para Abel Ferreira https://t.co/xCA8oxEzrR",Thu Jun 12 12:55:50 +0000 2025,76,2167
59,Palmeiras,PALMEIRAS HQ,Raphael Veiga 23 quando não corta o cabelo https://t.co/bTrjEfWNrx,Sat Jun 07 19:25:43 +0000 2025,7,393
60,Palmeiras,PALMEIRAS HQ,"12 de Junho X Palmeiras X EUA?

eu fecho os meus olhos e minha mente só desenha esse momento https://t.co/8BrtfDygkc",Thu Jun 12 03:10:55 +0000 2025,65,1228
61,Palmeiras,PALMEIRAS HQ,"Toda vez que aparece o Becacece

minha mente só desenha esse momento https://t.co/NxHQcspZE4",Thu Jun 05 23:56:02 +0000 2025,32,1338
62,Palmeiras,João Martins-O único Dodeca💪,"Nostalgia pura, o gol do Palmeiras, a transmissão, o prédio piscando as luzes, a torcida enlouquecida, esse era o Palestra Itália... https://t.co/Dh3UU65CLM",Fri Jun 06 12:12:09 +0000 2025,176,2521
63,Palmeiras,Cae Muniz,"Gostaria de falar um pouco sobre esse cara, Marcos Rocha. É consenso entre todos, que o seu ciclo já deveria ter sido fechado, ponto. Mas é incrível como ele sabe a dimensão e o tamanho que é o Palmeiras, principalmente sua torcida. Um exemplo de pessoa, jogador e capitão. https://t.co/2XB3zDZVYi",Sat Jun 14 18:00:31 +0000 2025,1,82
64,Palmeiras,Planeta do Palmeiras 🌎,"A tropa Alviverde tá chegando Estados Unidos 🐷

🎥 @PalmeirasDublin
https://t.co/F17WyFsOhF",Fri Jun 13 22:18:22 +0000 2025,46,1225
65,Palmeiras,Central Palestra ˢᵉᵖ  | Fan Account,"Palmeiras.
https://t.co/lhWqevRGAV",Thu Jun 12 23:50:55 +0000 2025,12,265
66,Palmeiras,Enquetes da Colina | Sigo todos de volta,"Acertar todos os vencedores tá pagando 25x

Não acho q vá ter zebra, tô pensando em botar cenzinho nessa aqui.

Talvez eu tire o Palmeiras e vou nos líderes dos outros 7 grupos que ainda assim fica odd 10.

Ou você acha q vai ter zebra na liderança? https://t.co/q10kziS9Ow",Sat Jun 14 20:10:40 +0000 2025,1,7
67,Palmeiras,50 Tons de Verde,"Não existe ""SE"" para amarmos o Palmeiras. Não existe ""MAS"" para ""entrarmos em campo"" com ele, jogarmos junto, o apoiarmos...
Se der certo, explodiremos de alegria, juntos. E se não der, continuaremos juntos, unidos... como sempre.
Amo você, @Palmeiras !💚  https://t.co/xxfQRTpAHQ",Mon Jun 09 14:37:56 +0000 2025,46,366
68,Palmeiras,PalmeirasOn,Ensaio no MetLife Stadium para Palmeiras x Porto no Super Mundial de Clubes https://t.co/6hU0pXvjQs,Sat Jun 14 12:46:58 +0000 2025,35,614
69,Palmeiras,𝑷𝒂𝒍𝒎𝒆𝒊𝒓𝒆𝒏𝒔𝒆 𝑵𝒆𝒘𝒔 ,"Olha ela aí!

Camisa do Palmeiras para a Copa do Mundo de Clubes aprece em propaganda da Puma

▶️ Puma Football https://t.co/cd4CElV4EB",Tue Jun 10 10:46:18 +0000 2025,12,314
70,Palmeiras,yasminn ˢᵉᵖ,"Apoio da torcida… bora rumo ao mundial
SOCIEDADE ESPORTIVA PALMEIRAS 💚https://t.co/kHcbQdLcQH",Sun Jun 08 13:07:43 +0000 2025,60,648
71,Palmeiras,Silvio Cruz,E se fosse contra Flamengo ou Palmeiras? Vocês acham que teria jogo? https://t.co/XRdW5r5o6G,Fri Jun 13 11:26:24 +0000 2025,2,8
72,Palmeiras,Pedro Rodrigues,@Palmeiras Então esse é o culpado pelo tanto de camisa feia,Sat Jun 14 17:04:33 +0000 2025,0,22
73,Palmeiras,rodrigo.,Do nada um Halerrandrio no Palmeiras https://t.co/Z6AdEKFw3z,Fri Jun 13 22:16:59 +0000 2025,0,7
74,Palmeiras,Fabin_084,@DataFutebol Ele é muito Palmeiras... https://t.co/cyKox1CPXm,Thu Jun 12 23:26:31 +0000 2025,0,161
75,Palmeiras,‧₊˚ ⋅* ‧₊✮‧₊˚ ⋅* ‧₊,"os jogadores do palmeiras, flamengo e fluminense assim no avião pro mundial
https://t.co/lsKIbhx8sM",Tue Jun 10 14:49:29 +0000 2025,105,832
76,Palmeiras,Palmeiras Feminino,O vídeo caótico! 😂 https://t.co/ujk37NQ84F,Sat Jun 14 02:45:36 +0000 2025,8,235
77,Palmeiras,joe laurenon - as roma insider,"🚨🟡🔴 Richard #Rios is following #ASRoma on Instagram 👀

The Colombian midfielder of #Palmeiras has been again linked with a move to the Capital 🇨🇴🇮🇹

Is this just a coincidence or is it a sign? 🤔

[@achkldr] https://t.co/NlQF78mJu5",Thu Jun 12 16:16:01 +0000 2025,19,342
78,Palmeiras,Gustavo Terini,"Gringos desfilando com as novas camisas do Palmeiras em evento da Puma com a KidSuper, em Nova Iorque.

🎥 greengos1914 (IG) https://t.co/SjF8JOi30E",Thu Jun 12 19:54:02 +0000 2025,122,2440
79,Palmeiras,dani,metrô de NYC só tem Palmeiras 😎,Sat Jun 14 19:16:30 +0000 2025,0,3
80,Palmeiras,Central Palestra ˢᵉᵖ  | Fan Account,"🧪🧠 O Palmeiras iniciou o processo de clonagem do Marcos Rocha após pedido de Abel Ferreira. A ideia é ter os dois Rochas em campo para dobrar a lateral.

📍CT: “Projeto Dobra Perfeita” segue em fase avançada.

🔜 Em breve: Rocha pela direita e Rocha mais à direita ainda. https://t.co/TPJiCUFT4Y",Sun Jun 08 17:05:21 +0000 2025,310,4101
81,Palmeiras,Versus,"Al ritmo del Capitán 🔈🎶

El buen ambiente que se vive en el Palmeiras a la espera del debut del 'Verdâo' en el mundial de clubes.

Siempre comandado por Gustavo Gómez, no solamente en lo futbolístico, también en lo musical.

#somosversuspy #versuspy #versus https://t.co/WvBkiIRzMl",Fri Jun 13 22:43:20 +0000 2025,38,502
82,Palmeiras,500 Casino BR,"🇧🇷 Palmeiras 🆚 Porto 🇵🇹

Quem conquista os primeiros pontos no Mundial de Clubes 2025? 🔥

Qual será o placar final da partida? 👀 https://t.co/1kgIYIPM0E",Sat Jun 14 14:00:00 +0000 2025,4,12
83,Palmeiras,Palmeirazzo 🇮🇹,@GokuSantistaS2 @DataFutebol Então… Billy Bruto é canonicamente Palmeiras otário https://t.co/USHhkudZ46,Fri Jun 13 05:00:06 +0000 2025,0,9
84,Palmeiras,Palmeiras da Depressão,Época que o Brasil era respeitado https://t.co/Or9uG8PJVb,Fri Jun 06 00:53:06 +0000 2025,111,2068
85,Palmeiras,Palmeiras da Depressão,"Google lançou um joguinho de pênaltis pros times do Mundial.

Só pesquisar o clube que vai aparecer uma bolinha azul pra jogar.

Estou viciado. https://t.co/HmVV5kJAi4",Fri Jun 13 23:26:53 +0000 2025,24,1004
86,Palmeiras,Twit Palmeiras,"👀 O MISTER RECONHECEU! 💚

Saudade que fala, né? 🥹
https://t.co/XmRZy0MuKl",Fri Jun 13 23:15:16 +0000 2025,3,70
87,Palmeiras,Umberto Conti,"Palmeiras em cenas....

O inesquecível chocolate de 3x0 no SPFC e....

A jogada mais extraordinária do Zé Rafael com a camisa do Palmeiras.... https://t.co/WKVcg0pTJE",Sun Jun 08 18:12:13 +0000 2025,82,2023
88,Palmeiras,TNT Sports BR,VAI DEIXAR SAUDADES!? 🟢⚪🐷 O Estêvão tá desfrutando cada instante desses últimos momentos com a camisa do Palmeiras. Ele resolveu registrar cada detalhe. Vai fazer muita falta pro Palmeiras e seu torcedor. #MundialdeClubes2025 https://t.co/bVLLM6viGE,Fri Jun 13 14:40:12 +0000 2025,8,510
89,Palmeiras,Goleada da Zoeira,É verdadeira a afirmação de que os times paulistas vão torcer para o Palmeiras no mundial? https://t.co/2MkKo35jzl,Sat Jun 14 19:55:11 +0000 2025,4,90
90,Palmeiras,CONMEBOL Libertadores,"💚🐷 É pra guardar, Estêvão! Um presente especial da torcida do @Palmeiras na COMMEBOL #Libertadores. https://t.co/SRLYEJCSEx",Mon Jun 09 22:00:01 +0000 2025,17,447
91,Palmeiras,Caique Silva,"Metlife Stadium já respira Palmeiras x Porto. Neste momento, o ensaio da entrada dos jogadores titulares ao estilo NBA Finals. https://t.co/8e2a0cLGc0",Sat Jun 14 18:36:34 +0000 2025,0,13
92,Palmeiras,Lance!,"DE PALMEIRAS ELE ENTENDE! 🤩🐷  E aí, concorda com as escolhas do Facincani? 👀

#FutebolBrasileiro #Palmeiras https://t.co/OYJAM8FRqh",Sat Jun 14 08:30:00 +0000 2025,0,7
